scheme_code,date,aum
118632,2019-02-28,380959.83
119092,2019-02-28,841150.77
120841,2019-02-28,95539.44
125497,2019-03-31,1325672.02
119551,2019-03-31,454482.84
120503,2019-03-31,287729.21
118632,2019-03-31,384950.88
119092,2019-03-31,832356.93
120841,2019-03-31,94331.42
125497,2019-04-30,1313054.88
119551,2019-04-30,461923.77
120503,2019-04-30,294808.49
118632,2019-04-30,387302.16
119092,2019-04-30,822515.46
120841,2019-04-30,94716.39
125497,2019-05-31,1358757.16
119551,2019-05-31,467215.44
120503,2019-05-31,304700.47
118632,2019-05-31,398161.72
119092,2019-05-31,810649.9
120841,2019-05-31,96708.85
125497,2019-06-30,1384689.74
119551,2019-06-30,472751.25
120503,2019-06-30,304195.05
118632,2019-06-30,404949.62
119092,2019-06-30,803011.64
120841,2019-06-30,97360.5
125497,2019-07-31,1395332.73
119551,2019-07-31,488205.87
120503,2019-07-31,312953.64
118632,2019-07-31,404208.34
119092,2019-07-31,811065.29
120841,2019-07-31,96769.77
125497,2019-08-31,1438073.71
119551,2019-08-31,502132.39
120503,2019-08-31,312929.3
118632,2019-08-31,411058.65
119092,2019-08-31,823595.04
120841,2019-08-31,96057.74
125497,2019-09-30,1471329.94
119551,2019-09-30,508142.39
120503,2019-09-30,320418.11
118632,2019-09-30,415793.09
119092,2019-09-30,811264.66
120841,2019-09-30,96173.76
125497,2019-10-31,1450692.83
119551,2019-10-31,524125.97
120503,2019-10-31,329689.76
118632,2019-10-31,426846.24
119092,2019-10-31,811569.46
120841,2019-10-31,95009.69
125497,2019-11-30,1492618.55
119551,2019-11-30,541080.12
120503,2019-11-30,326156.37
118632,2019-11-30,430815.7
119092,2019-11-30,802204.46
120841,2019-11-30,97197.78
125497,2019-12-31,1527384.2
119551,2019-12-31,536437.42
120503,2019-12-31,329014.84
118632,2019-12-31,436196.67
119092,2019-12-31,800802.87
120841,2019-12-31,99979.74
125497,2020-01-31,1536788.15
119551,2020-01-31,534071.69
120503,2020-01-31,332951.44
118632,2020-01-31,445573.39
119092,2020-01-31,796844.94
120841,2020-01-31,100038.31
125497,2020-02-29,1590203.01
119551,2020-02-29,543414.69
120503,2020-02-29,335250.47
118632,2020-02-29,450420.69
119092,2020-02-29,789713.35
120841,2020-02-29,99661.65
125497,2020-03-31,1593231.2
119551,2020-03-31,551248.25
120503,2020-03-31,334079.02
118632,2020-03-31,448623.91
119092,2020-03-31,780670.86
120841,2020-03-31,101311.56
125497,2020-04-30,1587570.59
119551,2020-04-30,567935.08
120503,2020-04-30,343427.14
118632,2020-04-30,443483.96
119092,2020-04-30,778250.96
120841,2020-04-30,103180.65
125497,2020-05-31,1580762.84
119551,2020-05-31,563173.28
120503,2020-05-31,354339.78
118632,2020-05-31,449494.13
119092,2020-05-31,784970.03
120841,2020-05-31,105680.82
125497,2020-06-30,1620874.46
119551,2020-06-30,560087.37
120503,2020-06-30,350742.01
118632,2020-06-30,452439.46
119092,2020-06-30,789820.3
120841,2020-06-30,106563.38
125497,2020-07-31,1655648.36
119551,2020-07-31,570543.21
120503,2020-07-31,362740.28
118632,2020-07-31,447879.28
119092,2020-07-31,793872.92
120841,2020-07-31,106772.79
125497,2020-08-31,1702144.97
119551,2020-08-31,569078.52
120503,2020-08-31,360749.0
118632,2020-08-31,451207.32
119092,2020-08-31,798710.85
120841,2020-08-31,106658.25
125497,2020-09-30,1697873.14
119551,2020-09-30,586812.87
120503,2020-09-30,363330.71
118632,2020-09-30,463871.56
119092,2020-09-30,808707.73
120841,2020-09-30,105328.16
125497,2020-10-31,1757237.78
119551,2020-10-31,602540.27
120503,2020-10-31,375484.06
118632,2020-10-31,478399.26
119092,2020-10-31,830894.45
120841,2020-10-31,104624.1
125497,2020-11-30,1773548.56
119551,2020-11-30,599941.73
120503,2020-11-30,377381.01
118632,2020-11-30,472625.82
119092,2020-11-30,834175.37
120841,2020-11-30,108209.09
125497,2020-12-31,1770462.86
119551,2020-12-31,614462.44
120503,2020-12-31,380305.87
118632,2020-12-31,475532.65
119092,2020-12-31,861591.28
120841,2020-12-31,111971.65
125497,2021-01-31,1793104.28
119551,2021-01-31,627317.25
120503,2021-01-31,377544.79
118632,2021-01-31,475454.37
119092,2021-01-31,890398.98
120841,2021-01-31,113534.66
125497,2021-02-28,1814818.34
119551,2021-02-28,641368.39
120503,2021-02-28,372960.74
118632,2021-02-28,482210.05
119092,2021-02-28,899429.87
120841,2021-02-28,116672.3
125497,2021-03-31,1801881.65
119551,2021-03-31,662558.52
120503,2021-03-31,368860.25
118632,2021-03-31,479457.23
119092,2021-03-31,912698.04
120841,2021-03-31,118861.15
125497,2021-04-30,1796043.91
119551,2021-04-30,656591.74
120503,2021-04-30,379746.92
118632,2021-04-30,478167.86
119092,2021-04-30,926138.39
120841,2021-04-30,120759.25
125497,2021-05-31,1806750.57
119551,2021-05-31,665904.59
120503,2021-05-31,383976.98
118632,2021-05-31,493342.66
119092,2021-05-31,921704.93
120841,2021-05-31,123272.2
125497,2021-06-30,1801211.61
119551,2021-06-30,669093.8
120503,2021-06-30,391113.0
118632,2021-06-30,493342.59
119092,2021-06-30,922450.46
120841,2021-06-30,126057.32
125497,2021-07-31,1780726.71
119551,2021-07-31,674389.19
120503,2021-07-31,404771.73
118632,2021-07-31,510513.29
119092,2021-07-31,911992.68
120841,2021-07-31,125509.94
125497,2021-08-31,1777628.28
119551,2021-08-31,695742.35
120503,2021-08-31,416527.6
118632,2021-08-31,525299.55
119092,2021-08-31,915163.09
120841,2021-08-31,124617.23
125497,2021-09-30,1825068.29
119551,2021-09-30,709780.34
120503,2021-09-30,423018.72
118632,2021-09-30,543349.71
119092,2021-09-30,931360.39
120841,2021-09-30,122796.72
125497,2021-10-31,1872255.81
119551,2021-10-31,709758.3
120503,2021-10-31,430704.73
118632,2021-10-31,560707.83
119092,2021-10-31,923643.65
120841,2021-10-31,121663.48
125497,2021-11-30,1854191.9
119551,2021-11-30,718744.68
120503,2021-11-30,430109.24
118632,2021-11-30,569253.86
119092,2021-11-30,942929.9
120841,2021-11-30,121077.05
125497,2021-12-31,1885178.97
119551,2021-12-31,717450.36
120503,2021-12-31,434163.71
118632,2021-12-31,586483.36
119092,2021-12-31,968676.77
120841,2021-12-31,119819.65
125497,2022-01-31,1896827.09
119551,2022-01-31,716613.82
120503,2022-01-31,427728.22
118632,2022-01-31,600298.54
119092,2022-01-31,985004.47
120841,2022-01-31,119591.73
125497,2022-02-28,1938674.03
119551,2022-02-28,725631.7
120503,2022-02-28,430458.99
118632,2022-02-28,591584.3
119092,2022-02-28,973935.18
120841,2022-02-28,123078.46
125497,2022-03-31,1997215.06
119551,2022-03-31,734542.11
120503,2022-03-31,441965.05
118632,2022-03-31,599940.71
119092,2022-03-31,966537.84
120841,2022-03-31,122016.58
125497,2022-04-30,1998039.75
119551,2022-04-30,756540.96
120503,2022-04-30,452928.49
118632,2022-04-30,616760.13
119092,2022-04-30,995482.0
120841,2022-04-30,121467.97
125497,2022-05-31,1992997.67
119551,2022-05-31,749081.23
120503,2022-05-31,463801.4
118632,2022-05-31,634773.68
119092,2022-05-31,1000776.84
120841,2022-05-31,123415.47
125497,2022-06-30,1978503.92
119551,2022-06-30,772672.83
120503,2022-06-30,476894.65
118632,2022-06-30,656235.57
119092,2022-06-30,1026335.27
120841,2022-06-30,127003.26
125497,2022-07-31,1951278.36
119551,2022-07-31,789538.91
120503,2022-07-31,477662.1
118632,2022-07-31,676933.76
119092,2022-07-31,1052108.35
120841,2022-07-31,130585.16
125497,2022-08-31,2001109.07
119551,2022-08-31,788228.5
120503,2022-08-31,489302.12
118632,2022-08-31,670438.43
119092,2022-08-31,1082207.42
120841,2022-08-31,134232.36
125497,2022-09-30,1993348.14
119551,2022-09-30,808587.91
120503,2022-09-30,493223.95
118632,2022-09-30,670612.44
119092,2022-09-30,1109010.75
120841,2022-09-30,133746.41
125497,2022-10-31,1965806.49
119551,2022-10-31,804267.21
120503,2022-10-31,493920.93
118632,2022-10-31,689535.54
119092,2022-10-31,1145990.11
120841,2022-10-31,133606.81
125497,2022-11-30,1999370.84
119551,2022-11-30,808275.61
120503,2022-11-30,510742.63
118632,2022-11-30,697679.5
119092,2022-11-30,1182618.08
120841,2022-11-30,132373.23
125497,2022-12-31,2066389.81
119551,2022-12-31,803368.08
120503,2022-12-31,527661.86
118632,2022-12-31,696474.83
119092,2022-12-31,1171288.75
120841,2022-12-31,133263.86
125497,2023-01-31,2110666.87
119551,2023-01-31,803917.48
120503,2023-01-31,535740.6
118632,2023-01-31,703837.37
119092,2023-01-31,1176278.17
120841,2023-01-31,135106.82
125497,2023-02-28,2105888.58
119551,2023-02-28,820348.96
120503,2023-02-28,527749.79
118632,2023-02-28,725852.53
119092,2023-02-28,1190302.47
120841,2023-02-28,137940.21
125497,2023-03-31,2152423.46
119551,2023-03-31,835551.19
120503,2023-03-31,529444.43
118632,2023-03-31,717504.28
119092,2023-03-31,1211980.12
120841,2023-03-31,138148.5
125497,2023-04-30,2153921.08
119551,2023-04-30,858445.94
120503,2023-04-30,540556.26
118632,2023-04-30,717515.84
119092,2023-04-30,1212542.76
120841,2023-04-30,138897.22
125497,2023-05-31,2164949.2
119551,2023-05-31,858259.45
120503,2023-05-31,535888.23
118632,2023-05-31,721836.94
119092,2023-05-31,1251366.18
120841,2023-05-31,141517.64
125497,2023-06-30,2230201.37
119551,2023-06-30,871799.13
120503,2023-06-30,535913.68
118632,2023-06-30,730785.46
119092,2023-06-30,1232621.08
120841,2023-06-30,141425.04
125497,2023-07-31,2244685.2
119551,2023-07-31,884003.65
120503,2023-07-31,545418.26
118632,2023-07-31,736814.0
119092,2023-07-31,1241382.54
120841,2023-07-31,140814.8
125497,2023-08-31,2264122.63
119551,2023-08-31,910575.96
120503,2023-08-31,558945.31
118632,2023-08-31,732013.34
119092,2023-08-31,1228024.99
120841,2023-08-31,142331.75
125497,2023-09-30,2301813.57
119551,2023-09-30,912178.04
120503,2023-09-30,573433.83
118632,2023-09-30,748525.3
119092,2023-09-30,1250915.11
120841,2023-09-30,141795.44
125497,2023-10-31,2290204.37
119551,2023-10-31,899609.38
120503,2023-10-31,571852.37
118632,2023-10-31,755080.0
119092,2023-10-31,1285298.87
120841,2023-10-31,140184.85
125497,2023-11-30,2303309.03
119551,2023-11-30,914442.38
120503,2023-11-30,568834.0
118632,2023-11-30,770043.96
119092,2023-11-30,1297790.5
120841,2023-11-30,139792.22
125497,2023-12-31,2344314.62
119551,2023-12-31,900979.27
120503,2023-12-31,581660.19
118632,2023-12-31,788141.77
119092,2023-12-31,1285240.05
120841,2023-12-31,140666.95
125497,2024-01-31,2329766.58
119551,2024-01-31,930619.95
120503,2024-01-31,587999.06
118632,2024-01-31,778298.6
119092,2024-01-31,1281975.43
120841,2024-01-31,144523.59
125497,2024-02-29,2347992.56
119551,2024-02-29,953951.37
120503,2024-02-29,598805.83
118632,2024-02-29,805067.89
119092,2024-02-29,1300913.56
120841,2024-02-29,149220.89
125497,2024-03-31,2417425.74
119551,2024-03-31,968864.12
120503,2024-03-31,611359.01
118632,2024-03-31,813310.91
119092,2024-03-31,1335424.79
120841,2024-03-31,151070.27
125497,2024-04-30,2489611.06
119551,2024-04-30,990356.22
120503,2024-04-30,616698.45
118632,2024-04-30,811651.41
119092,2024-04-30,1331901.92
120841,2024-04-30,153620.8
125497,2024-05-31,2547595.8
119551,2024-05-31,1001314.5
120503,2024-05-31,626773.71
118632,2024-05-31,810620.51
119092,2024-05-31,1317083.4
120841,2024-05-31,153511.18
125497,2024-06-30,2543992.88
119551,2024-06-30,1002301.27
120503,2024-06-30,634299.77
118632,2024-06-30,804069.64
119092,2024-06-30,1312556.68
120841,2024-06-30,156534.96
125497,2024-07-31,2595689.25
119551,2024-07-31,990485.59
120503,2024-07-31,637712.28
118632,2024-07-31,813823.46
119092,2024-07-31,1320154.7
120841,2024-07-31,155805.78
125497,2024-08-31,2611282.01
119551,2024-08-31,1020439.78
120503,2024-08-31,646770.33
118632,2024-08-31,829917.75
119092,2024-08-31,1356903.32
120841,2024-08-31,159432.9
125497,2024-09-30,2621776.89
119551,2024-09-30,1005434.01
120503,2024-09-30,648444.13
118632,2024-09-30,848735.1
119092,2024-09-30,1394452.08
120841,2024-09-30,164641.81
125497,2024-10-31,2637379.25
119551,2024-10-31,1027931.38
120503,2024-10-31,656424.28
118632,2024-10-31,861604.16
119092,2024-10-31,1388911.83
120841,2024-10-31,163978.48
125497,2024-11-30,2655291.8
119551,2024-11-30,1014004.19
120503,2024-11-30,657610.1
118632,2024-11-30,877937.67
119092,2024-11-30,1396156.17
120841,2024-11-30,162871.99
125497,2024-12-31,2677515.28
119551,2024-12-31,1005264.88
120503,2024-12-31,668206.07
118632,2024-12-31,865952.35
119092,2024-12-31,1402719.52
120841,2024-12-31,165025.1
125497,2025-01-31,2640980.86
119551,2025-01-31,1022492.59
120503,2025-01-31,662716.74
118632,2025-01-31,872953.51
119092,2025-01-31,1385205.48
120841,2025-01-31,165677.8
125497,2025-02-28,2629315.68
119551,2025-02-28,1023865.07
120503,2025-02-28,677999.97
118632,2025-02-28,876407.18
119092,2025-02-28,1416511.81
120841,2025-02-28,170084.21
125497,2025-03-31,2623041.02
119551,2025-03-31,1012700.14
120503,2025-03-31,668487.07
118632,2025-03-31,886898.61
119092,2025-03-31,1466083.19
120841,2025-03-31,170509.08
125497,2025-04-30,2668963.14
119551,2025-04-30,1037067.38
120503,2025-04-30,680244.24
118632,2025-04-30,907041.55
119092,2025-04-30,1513702.44
120841,2025-04-30,169651.08
125497,2025-05-31,2631648.37
119551,2025-05-31,1029412.91
120503,2025-05-31,674333.63
118632,2025-05-31,923797.28
119092,2025-05-31,1533681.01
120841,2025-05-31,168955.21
125497,2025-06-30,2684210.94
119551,2025-06-30,1053444.46
120503,2025-06-30,669875.92
118632,2025-06-30,937989.0
119092,2025-06-30,1568029.76
120841,2025-06-30,167388.43
125497,2025-07-31,2753906.63
119551,2025-07-31,1088456.78
120503,2025-07-31,663448.42
118632,2025-07-31,925123.46
119092,2025-07-31,1568967.23
120841,2025-07-31,170546.61
125497,2025-08-31,2844533.96
119551,2025-08-31,1093716.99
120503,2025-08-31,677215.46
118632,2025-08-31,914761.92
119092,2025-08-31,1599610.29
120841,2025-08-31,173337.11
125497,2025-09-30,2816359.03
119551,2025-09-30,1119555.0
120503,2025-09-30,695848.81
118632,2025-09-30,928502.17
119092,2025-09-30,1585298.18
120841,2025-09-30,179263.89
125497,2025-10-31,2884322.75
119551,2025-10-31,1122197.37
120503,2025-10-31,700315.4
118632,2025-10-31,931778.43
119092,2025-10-31,1601623.64
120841,2025-10-31,179633.46
125497,2025-11-30,2963580.43
119551,2025-11-30,1151505.28
120503,2025-11-30,693506.19
118632,2025-11-30,962563.81
119092,2025-11-30,1628497.69
120841,2025-11-30,184382.13
125497,2025-12-31,3023935.03
119551,2025-12-31,1159305.99
120503,2025-12-31,708548.18
118632,2025-12-31,994591.86
119092,2025-12-31,1626061.66
120841,2025-12-31,189067.28
